"Frequency(Hz)","Transmission Loss(dB)","±Phase(deg)"
70000000.000,76.912,-57.277
70051020.000,79.922,-12.277
70102040.000,82.897,36.077
70153060.000,82.897,36.077
70204080.000,82.897,126.077
70255100.000,82.897,36.077
70306120.000,82.897,36.077
70357140.000,90.000,180.000
70408160.000,90.000,180.000
70459180.000,90.000,180.000
70510200.000,82.897,36.077
70561220.000,90.000,180.000
70612240.000,79.887,81.077
70663260.000,90.000,180.000
70714280.000,82.897,36.077
70765300.000,79.887,81.077
70816320.000,90.000,180.000
70867340.000,82.897,36.077
70918360.000,90.000,180.000
70969380.000,82.897,126.077
71020400.000,82.897,36.077
71071420.000,82.897,36.077
71122440.000,82.897,36.077
71173460.000,90.000,180.000
71224480.000,90.000,180.000
71275500.000,82.897,36.077
71326520.000,90.000,180.000
71377540.000,90.000,180.000
71428560.000,82.897,36.077
71479580.000,82.897,36.077
71530600.000,82.897,36.077
71581620.000,82.897,36.077
71632640.000,90.000,180.000
71683660.000,90.000,180.000
71734680.000,90.000,180.000
71785700.000,90.000,180.000
71836720.000,82.897,36.077
71887740.000,82.897,36.077
71938760.000,79.887,81.077
71989780.000,82.897,36.077
72040800.000,82.897,36.077
72091820.000,82.858,39.446
72142840.000,82.858,39.446
72193860.000,90.000,180.000
72244880.000,79.848,84.446
72295900.000,82.858,39.446
72346920.000,90.000,180.000
72397940.000,82.858,-140.554
72448960.000,82.858,39.446
72499980.000,82.858,-140.554
72551000.000,82.858,39.446
72602020.000,90.000,180.000
72653040.000,82.858,39.446
72704060.000,82.858,39.446
72755080.000,90.000,180.000
72806100.000,90.000,180.000
72857120.000,90.000,180.000
72908140.000,90.000,180.000
72959160.000,90.000,180.000
73010180.000,90.000,180.000
73061200.000,90.000,180.000
73112220.000,82.858,39.446
73163240.000,82.858,39.446
73214260.000,90.000,180.000
73265280.000,82.858,39.446
73316300.000,82.858,39.446
73367320.000,82.858,39.446
73418340.000,79.848,-5.554
73469360.000,90.000,180.000
73520380.000,90.000,180.000
73571400.000,90.000,180.000
73622420.000,90.000,180.000
73673440.000,90.000,180.000
73724460.000,79.848,84.446
73775480.000,82.858,39.446
73826500.000,82.858,39.446
73877520.000,82.858,39.446
73928540.000,82.858,39.446
73979560.000,82.858,39.446
74030580.000,82.858,39.446
74081600.000,82.817,42.797
74132620.000,90.000,180.000
74183640.000,90.000,180.000
74234660.000,82.817,42.797
